addr	value	ascii
0x0200	0xf0	 
0x0201	0xff	 
0x0202	0xff	 
0x0203	0x00	 
0x0204	0xf0	 
0x0205	0xff	 
0x0206	0xff	 
0x0207	0xff	 
0x0208	0xff	 
0x0209	0xff	 
0x020a	0xff	 
0x020b	0xff	 
0x020c	0xff	 
0x020d	0xff	 
0x020e	0xff	 
0x020f	0x1b	 
0x0210	0xf0	 
0x0211	0xff	 
0x0212	0xff	 
0x0213	0xff	 
0x0214	0xff	 
0x0215	0xff	 
0x0216	0xff	 
0x0217	0xff	 
0x0218	0xff	 
0x0219	0xff	 
0x021a	0xff	 
0x021b	0xff	 
0x021c	0xff	 
0x021d	0xff	 
0x021e	0xff	 
0x021f	0xff	 
0x0220	0xff	 
0x0221	0xff	 
0x0222	0xff	 
0x0223	0xff	 
0x0224	0xff	 
0x0225	0xff	 
0x0226	0xff	 
0x0227	0xff	 
0x0228	0xcf	 
0x0229	0x02	 
0x022a	0xff	 
0x022b	0xff	 
0x022c	0xff	 
0x022d	0xff	 
0x022e	0xff	 
0x022f	0xff	 
0x0230	0xff	 
0x0231	0xff	 
0x0232	0xff	 
0x0233	0xff	 
0x0234	0xff	 
0x0235	0xff	 
0x0236	0xff	 
0x0237	0xff	 
0x0238	0xff	 
0x0239	0xff	 
0x023a	0xff	 
0x023b	0xff	 
0x023c	0xff	 
0x023d	0xff	 
0x023e	0xff	 
0x023f	0xff	 
0x0240	0xff	 
0x0241	0xff	 
0x0242	0x3d	=
0x0243	0xf0	 
0x0244	0xff	 
0x0245	0xff	 
0x0246	0xff	 
0x0247	0xff	 
0x0248	0xff	 
0x0249	0xff	 
0x024a	0xff	 
0x024b	0xff	 
0x024c	0xff	 
0x024d	0xff	 
0x024e	0xff	 
0x024f	0xff	 
0x0250	0xff	 
0x0251	0xff	 
0x0252	0xff	 
0x0253	0xff	 
0x0254	0xff	 
0x0255	0xff	 
0x0256	0xff	 
0x0257	0xff	 
0x0258	0xff	 
0x0259	0xff	 
0x025a	0xff	 
0x025b	0xef	 
0x025c	0x04	 
0x025d	0xff	 
0x025e	0xff	 
0x025f	0xff	 
0x0260	0xff	 
0x0261	0xff	 
0x0262	0xff	 
0x0263	0xff	 
0x0264	0xff	 
0x0265	0xff	 
0x0266	0xff	 
0x0267	0xff	 
0x0268	0xff	 
0x0269	0xff	 
0x026a	0xff	 
0x026b	0xff	 
0x026c	0xff	 
0x026d	0xff	 
0x026e	0xff	 
0x026f	0xff	 
0x0270	0xff	 
0x0271	0xff	 
0x0272	0xff	 
0x0273	0xff	 
0x0274	0xff	 
0x0275	0x5f	_
0x0276	0xf0	 
0x0277	0xff	 
0x0278	0xff	 
0x0279	0xff	 
0x027a	0xff	 
0x027b	0xff	 
0x027c	0xff	 
0x027d	0xff	 
0x027e	0xff	 
0x027f	0xff	 
0x0280	0xff	 
0x0281	0xff	 
0x0282	0xff	 
0x0283	0xff	 
0x0284	0xff	 
0x0285	0xff	 
0x0286	0xff	 
0x0287	0xff	 
0x0288	0xff	 
0x0289	0xff	 
0x028a	0xff	 
0x028b	0xff	 
0x028c	0xff	 
0x028d	0xff	 
0x028e	0x0f	 
